county,region,medinc_nonsnap,medinc_snap,income_gap,snap_hh,snap_below_pov,snap_white,snap_black,snap_with_children,snap_60plus,snap_disability,snap_1worker,snap_nowork,snap_2plus_workers,median_rent,grapi_35,economic_score
Accomack,Eastern Shore/Northern Neck,63397,30428.0000,32969.0000,0.1250,0.3820,0.4590,0.4540,0.4390,0.4250,0.4120,0.3810,0.1780,0.4420,973,0.3020,0.4583
Albemarle,Central Virginia,104881,31926.0000,72955.0000,0.0380,0.4470,0.5710,0.3090,0.4940,0.4430,0.5390,0.4780,0.2240,0.2980,1623,0.3910,0.4292
Alleghany,Southwest Virginia,58024,15176.0000,42848.0000,0.0880,0.6610,0.8410,0.1030,0.4130,0.3660,0.5100,0.4310,0.4000,0.1690,774,0.3500,0.6496
Amelia,Southside Virginia,69982,36818.0000,33164.0000,0.1260,0.3880,0.8220,0.1390,0.4940,0.4160,0.4940,0.1050,0.2940,0.6000,972,0.2700,0.4833
Amherst,Central Virginia,72339,26680.0000,45659.0000,0.1240,0.3770,0.6370,0.2810,0.4470,0.3440,0.5290,0.3440,0.2610,0.3960,842,0.4310,0.4915
Appomattox,Central Virginia,69580,24269.0000,45311.0000,0.1380,0.5240,0.7250,0.1920,0.4550,0.3270,0.3850,0.5400,0.1690,0.2910,883,0.2470,0.5366
Arlington,Northern Virginia,143636,26277.0000,117359.0000,0.0340,0.4170,0.2740,0.3250,0.3140,0.4800,0.4570,0.4410,0.2940,0.2650,2275,0.3120,0.4506
Augusta,Shenandoah Valley,83208,32917.0000,50291.0000,0.0620,0.3400,0.8580,0.0860,0.4420,0.4310,0.4770,0.4710,0.2360,0.2940,1057,0.3780,0.4065
Bath,Shenandoah Valley,71090,23309.0000,47781.0000,0.1030,0.5410,0.9670,0.0330,0.4040,0.5360,0.4860,0.6880,0.1610,0.1510,825,0.2350,0.5165
Bedford,Southside Virginia,80903,26694.0000,54209.0000,0.0640,0.4020,0.7590,0.1900,0.4780,0.3760,0.4190,0.4290,0.2150,0.3560,955,0.3920,0.4410
Bland,Southwest Virginia,61850,30833.0000,31017.0000,0.0740,0.4310,1.0000,0.0000,0.5230,0.4020,0.4200,0.5680,0.2370,0.1940,683,0.1410,0.4570
Botetourt,Roanoke Area,81783,39141.0000,42642.0000,0.0270,0.3390,0.9720,0.0140,0.4200,0.3920,0.5270,0.6490,0.1670,0.1850,951,0.1970,0.3420
Brunswick,Southside Virginia,60097,25586.0000,34511.0000,0.2130,0.4220,0.2410,0.7280,0.5080,0.4140,0.4090,0.4980,0.2120,0.2900,864,0.3270,0.5638
Buchanan,Southwest Virginia,46691,24345.0000,22346.0000,0.2540,0.5010,0.9960,0.0000,0.5510,0.3810,0.7350,0.4200,0.4460,0.1340,712,0.5130,0.7048
Buckingham,Central Virginia,67487,28511.0000,38976.0000,0.1750,0.4670,0.5560,0.3950,0.5120,0.4920,0.5950,0.4810,0.2840,0.2350,874,0.3990,0.5689
Campbell,Southside Virginia,68284,29947.0000,38337.0000,0.1140,0.3120,0.7790,0.1620,0.4790,0.4080,0.4770,0.3950,0.2860,0.3190,853,0.2450,0.4583
Caroline,Northern Virginia,92032,40282.0000,51750.0000,0.1250,0.4300,0.5150,0.3360,0.6220,0.5310,0.5200,0.2520,0.2110,0.5370,1201,0.3690,0.4639
Carroll,Southwest Virginia,58666,22929.0000,35737.0000,0.1430,0.5260,0.9520,0.0090,0.4590,0.3900,0.3810,0.4810,0.3060,0.2130,687,0.3450,0.5887
Charles City,Central Virginia,77386,20848.0000,56538.0000,0.1120,0.4590,0.4230,0.5110,0.2720,0.6310,0.6190,0.4880,0.2800,0.2320,1076,0.4730,0.5353
Charlotte,Southside Virginia,62875,19442.0000,43433.0000,0.2510,0.6590,0.6490,0.3260,0.5350,0.4120,0.5760,0.2890,0.5230,0.1880,682,0.4940,0.8019
Chesterfield,Central Virginia,103250,43452.0000,59798.0000,0.0610,0.3090,0.4100,0.4070,0.5320,0.3440,0.4860,0.4130,0.1170,0.4700,1542,0.4060,0.3293
Clarke,Shenandoah Valley,115895,72539.0000,43356.0000,0.0260,0.2480,0.8050,0.1340,0.6380,0.7050,0.2890,0.5270,0.1760,0.2980,1360,0.4840,0.2265
Craig,Southwest Virginia,76008,58240.0000,17768.0000,0.1340,0.3450,1.0000,0.0000,0.8040,0.1960,0.4680,0.8460,0.0000,0.1540,728,0.4710,0.3252
Culpeper,Northern Virginia,101242,45435.0000,55807.0000,0.0940,0.3320,0.4900,0.2390,0.6880,0.3070,0.4420,0.4520,0.1730,0.3750,1417,0.3490,0.3767
Cumberland,Central Virginia,60165,42180.0000,17985.0000,0.1930,0.1690,0.3720,0.5580,0.6770,0.3560,0.3920,0.5740,0.0810,0.3450,847,0.2310,0.3656
Dickenson,Southwest Virginia,47917,24886.0000,23031.0000,0.2720,0.4340,0.9940,0.0010,0.4750,0.3280,0.6230,0.4210,0.3300,0.2490,733,0.4480,0.6532
Dinwiddie,Southside Virginia,86028,47353.0000,38675.0000,0.1410,0.3610,0.5980,0.3810,0.4480,0.3810,0.5290,0.3710,0.1900,0.4380,1242,0.3030,0.4247
Essex,Eastern Shore/Northern Neck,65824,21532.0000,44292.0000,0.1510,0.5470,0.3430,0.6070,0.4980,0.3040,0.4080,0.5570,0.1650,0.2780,967,0.4580,0.5610
Fairfax,Northern Virginia,155032,45659.0000,109373.0000,0.0420,0.3390,0.2390,0.2300,0.5680,0.3850,0.4010,0.3850,0.1130,0.5020,2230,0.3620,0.3201
Fauquier,Northern Virginia,133679,56611.0000,77068.0000,0.0510,0.2240,0.6500,0.1620,0.5980,0.5070,0.4490,0.3100,0.1360,0.5550,1561,0.3360,0.2620
Floyd,Southwest Virginia,68302,23932.0000,44370.0000,0.0730,0.3630,0.9320,0.0000,0.4450,0.4470,0.4410,0.3470,0.2750,0.3780,826,0.3150,0.4584
Fluvanna,Central Virginia,95000,34871.0000,60129.0000,0.0520,0.4410,0.6300,0.3030,0.5720,0.3480,0.3640,0.7190,0.1550,0.1260,1173,0.3710,0.4080
Franklin,Southside Virginia,72880,33400.0000,39480.0000,0.1160,0.3550,0.8780,0.0600,0.5020,0.3560,0.4940,0.4890,0.2160,0.2940,797,0.2810,0.4458
Frederick,Shenandoah Valley,99020,43054.0000,55966.0000,0.0620,0.2280,0.7500,0.0730,0.6150,0.3590,0.4230,0.3570,0.1470,0.4960,1402,0.3310,0.3086
Giles,Southwest Virginia,67173,35878.0000,31295.0000,0.1010,0.3900,0.9010,0.0930,0.2690,0.5280,0.4260,0.4690,0.2730,0.2580,780,0.2980,0.4606
Gloucester,Hampton Roads,87821,39787.0000,48034.0000,0.0740,0.4080,0.8850,0.0900,0.4570,0.5720,0.5850,0.4330,0.2920,0.2750,1144,0.3380,0.4438
Goochland,Central Virginia,121294,48958.0000,72336.0000,0.0430,0.1900,0.4310,0.5690,0.4630,0.6040,0.5320,0.4170,0.1530,0.4300,1567,0.3380,0.2666
Grayson,Southwest Virginia,50367,19344.0000,31023.0000,0.1720,0.5230,0.9080,0.0360,0.4070,0.3900,0.5470,0.4600,0.3190,0.2210,712,0.4620,0.6225
Greene,Central Virginia,87288,55625.0000,31663.0000,0.0990,0.3740,0.6230,0.2600,0.5550,0.2560,0.4970,0.3250,0.1540,0.5210,1502,0.2380,0.3661
Greensville,Southside Virginia,61154,39953.0000,21201.0000,0.1790,0.3440,0.2010,0.7030,0.5330,0.4710,0.4760,0.4170,0.0410,0.5420,960,0.4220,0.4169
Halifax,Southside Virginia,56085,19701.0000,36384.0000,0.2100,0.5340,0.4090,0.5610,0.3840,0.3970,0.5430,0.4540,0.2800,0.2660,769,0.4060,0.6422
Hanover,Central Virginia,112508,47813.0000,64695.0000,0.0480,0.3020,0.6040,0.3300,0.5410,0.4680,0.5590,0.4930,0.1030,0.4040,1496,0.3740,0.3015
Henrico,Central Virginia,91450,38399.0000,53051.0000,0.0800,0.3590,0.3010,0.5670,0.5810,0.3540,0.4330,0.5130,0.1250,0.3620,1474,0.4160,0.3785
Henry,Southside Virginia,53194,24432.0000,28762.0000,0.1590,0.4830,0.6830,0.2690,0.4280,0.4470,0.5510,0.4390,0.2990,0.2620,705,0.3740,0.5779
Highland,Shenandoah Valley,61875,115379.0000,-53504.0000,0.0560,0.2320,1.0000,0.0000,0.3210,0.2680,0.9110,0.1760,0.1570,0.6670,859,0.6230,0.1322
Isle of Wight,Hampton Roads,102092,28942.0000,73150.0000,0.0790,0.3470,0.4700,0.4090,0.3800,0.3630,0.5080,0.5940,0.1230,0.2830,1313,0.2760,0.3954
James City,Hampton Roads,112093,55673.0000,56420.0000,0.0560,0.3220,0.3810,0.4750,0.5160,0.3920,0.4430,0.4690,0.1120,0.4190,1491,0.4590,0.2992
King and Queen,Eastern Shore/Northern Neck,83683,21406.0000,62277.0000,0.1330,0.5390,0.4660,0.4260,0.4910,0.5310,0.5840,0.5910,0.1850,0.2240,982,0.4520,0.5509
King George,Northern Virginia,117507,27759.0000,89748.0000,0.0730,0.4570,0.6390,0.3450,0.4250,0.3570,0.6760,0.3660,0.1560,0.4780,1426,0.4140,0.4480
King William,Eastern Shore/Northern Neck,90315,33828.0000,56487.0000,0.0810,0.4260,0.5430,0.4410,0.4450,0.3650,0.8170,0.3660,0.5080,0.1260,1246,0.3400,0.5405
Lancaster,Eastern Shore/Northern Neck,73180,25321.0000,47859.0000,0.1090,0.5710,0.4250,0.5700,0.5630,0.4920,0.3630,0.5450,0.1270,0.3280,978,0.3840,0.5171
Lee,Southwest Virginia,57758,17244.0000,40514.0000,0.2750,0.6120,0.9650,0.0070,0.3640,0.3940,0.6590,0.3630,0.4690,0.1680,725,0.5330,0.7895
Loudoun,Northern Virginia,181937,82643.0000,99294.0000,0.0320,0.2230,0.4250,0.1570,0.6600,0.3770,0.4090,0.3310,0.1070,0.5620,2317,0.3660,0.1742
Louisa,Central Virginia,87157,30833.0000,56324.0000,0.1170,0.4090,0.5690,0.3490,0.5230,0.3680,0.5600,0.4680,0.0490,0.4830,1208,0.4770,0.4204
Lunenburg,Southside Virginia,57681,32981.0000,24700.0000,0.2040,0.4320,0.4180,0.4620,0.3260,0.4260,0.4840,0.5180,0.1930,0.2890,780,0.4160,0.5368
Madison,Central Virginia,90682,29861.0000,60821.0000,0.0790,0.2950,0.7430,0.1420,0.2220,0.5330,0.6060,0.3650,0.3280,0.3070,1048,0.4410,0.4387
Mathews,Hampton Roads,77445,28295.0000,49150.0000,0.0570,0.6950,0.7180,0.2160,0.3900,0.3520,0.7280,0.0920,0.7750,0.1330,1108,0.3210,0.7285
Mecklenburg,Southside Virginia,58989,19285.0000,39704.0000,0.1440,0.5550,0.3980,0.5690,0.3570,0.4320,0.6580,0.4150,0.3370,0.2470,804,0.4250,0.6198
Middlesex,Eastern Shore/Northern Neck,81033,,,0.1130,0.4280,0.6410,0.3100,0.4450,0.4390,0.6340,0.3860,0.4180,0.1960,1071,0.2870,0.4498
Montgomery,Southwest Virginia,72976,25693.0000,47283.0000,0.0460,0.6080,0.8350,0.0720,0.5770,0.2880,0.4620,0.4540,0.3030,0.2420,1206,0.4450,0.5397
Nelson,Central Virginia,78068,25486.0000,52582.0000,0.1170,0.5150,0.7170,0.2380,0.1840,0.4930,0.4850,0.2030,0.3100,0.4880,950,0.2580,0.5596
New Kent,Central Virginia,122828,53125.0000,69703.0000,0.0540,0.3460,0.4950,0.2880,0.7220,0.4340,0.7120,0.2320,0.1340,0.6340,1653,0.4510,0.3205
Northampton,Eastern Shore/Northern Neck,69550,13021.0000,56529.0000,0.1450,0.6790,0.2940,0.5730,0.3650,0.5110,0.5520,0.6760,0.1680,0.1560,780,0.3970,0.6305
Northumberland,Eastern Shore/Northern Neck,73293,,,0.0660,0.5920,0.4170,0.4360,0.1640,0.7170,0.5810,0.3560,0.2080,0.4350,1053,0.3420,0.3985
Nottoway,Southside Virginia,68065,25104.0000,42961.0000,0.1310,0.4650,0.3740,0.5890,0.4290,0.5190,0.4870,0.4200,0.2590,0.3210,1009,0.3590,0.5349
Orange,Central Virginia,100031,29474.0000,70557.0000,0.0740,0.5310,0.7060,0.2520,0.4850,0.4690,0.6050,0.6480,0.0590,0.2930,1145,0.3650,0.4426
Page,Shenandoah Valley,63376,31023.0000,32353.0000,0.1200,0.4150,0.9170,0.0310,0.3000,0.4610,0.5440,0.3810,0.1500,0.4680,851,0.3460,0.4571
Patrick,Southside Virginia,55441,28395.0000,27046.0000,0.1220,0.3290,0.8940,0.0610,0.4590,0.4300,0.5800,0.2540,0.3550,0.3910,721,0.3470,0.4971
Pittsylvania,Southside Virginia,60978,28362.0000,32616.0000,0.1380,0.4080,0.6240,0.3340,0.4350,0.4500,0.5820,0.5200,0.2630,0.2170,856,0.4170,0.5110
Powhatan,Central Virginia,111103,,,0.0190,0.4250,0.8630,0.0570,0.5140,0.5240,0.7550,0.5060,0.1890,0.3050,1107,0.3360,0.2545
Prince Edward,Central Virginia,61334,21667.0000,39667.0000,0.2010,0.5640,0.2870,0.6340,0.4930,0.4370,0.5090,0.4210,0.2090,0.3700,898,0.4590,0.6196
Prince George,Southside Virginia,94641,35769.0000,58872.0000,0.0810,0.3800,0.6480,0.3130,0.7330,0.2330,0.5050,0.4520,0.2580,0.2900,1563,0.3350,0.4369
Prince William,Northern Virginia,132625,61166.0000,71459.0000,0.0560,0.2600,0.2860,0.2740,0.6280,0.4240,0.4380,0.3590,0.0900,0.5510,2002,0.4070,0.2541
Pulaski,Southwest Virginia,66926,23143.0000,43783.0000,0.1400,0.5410,0.9290,0.0360,0.4220,0.3810,0.5670,0.3980,0.3920,0.2100,815,0.3360,0.6196
Rappahannock,Northern Virginia,100043,,,0.0560,0.5470,0.7270,0.2730,0.7700,0.3230,0.4040,0.3550,0.1940,0.4520,1384,0.2880,0.3586
Richmond,Eastern Shore/Northern Neck,77340,35481.0000,41859.0000,0.1450,0.3510,0.3510,0.5980,0.1620,0.5840,0.6660,0.8590,0.0900,0.0510,1011,0.2400,0.4205
Roanoke,Roanoke Area,84662,35462.0000,49200.0000,0.0640,0.3830,0.7260,0.1780,0.5520,0.3200,0.4160,0.5220,0.1860,0.2910,1148,0.3400,0.4027
Rockbridge,Shenandoah Valley,67895,25696.0000,42199.0000,0.0960,0.2510,0.9420,0.0300,0.3940,0.4570,0.5360,0.5790,0.1060,0.3150,956,0.3150,0.3727
Rockingham,Shenandoah Valley,81959,39983.0000,41976.0000,0.0570,0.3560,0.8090,0.0430,0.5520,0.4290,0.4720,0.4240,0.1080,0.4680,1125,0.2910,0.3504
Russell,Southwest Virginia,55625,26315.0000,29310.0000,0.1920,0.5180,0.9640,0.0070,0.4660,0.3600,0.5990,0.3870,0.3290,0.2830,682,0.3130,0.6219
Scott,Southwest Virginia,51131,20802.0000,30329.0000,0.2100,0.5200,0.9770,0.0110,0.4410,0.3910,0.6430,0.3000,0.3920,0.3080,665,0.3490,0.6701
Shenandoah,Shenandoah Valley,71420,28719.0000,42701.0000,0.1110,0.4280,0.7500,0.0920,0.5670,0.3710,0.5660,0.4540,0.2030,0.3430,968,0.2940,0.4782
Smyth,Southwest Virginia,50958,27893.0000,23065.0000,0.1590,0.4760,0.9620,0.0170,0.4370,0.3780,0.5170,0.4220,0.3640,0.2130,692,0.3460,0.5876
Southampton,Southside Virginia,76886,34028.0000,42858.0000,0.1440,0.3390,0.3540,0.5830,0.3720,0.4710,0.6380,0.4490,0.2500,0.3000,930,0.3780,0.4702
Spotsylvania,Northern Virginia,114131,48583.0000,65548.0000,0.0630,0.3760,0.4840,0.3030,0.5330,0.4890,0.4310,0.5270,0.1070,0.3660,1733,0.4190,0.3416
Stafford,Northern Virginia,137904,57197.0000,80707.0000,0.0450,0.2380,0.4360,0.2850,0.6780,0.3870,0.5290,0.5150,0.0860,0.3990,1925,0.3380,0.2454
Surry,Southside Virginia,76250,,,0.1110,0.4000,0.4130,0.5640,0.3900,0.5150,0.4720,0.4510,0.4370,0.1130,858,0.3030,0.4412
Sussex,Southside Virginia,72324,38661.0000,33663.0000,0.1910,0.2880,0.3750,0.6250,0.4210,0.4790,0.2760,0.6730,0.0800,0.2470,952,0.3870,0.4195
